date,mean,count,score
01-01-2021,0.0,2,0.0
01-01-2022,-0.5,2,-1.0
01-02-2018,0.0,1,0.0
01-02-2021,0.0,14,0.0
01-02-2022,0.0,7,0.0
01-02-2023,-0.07692307692307693,13,-1.0
01-03-2019,-0.5,2,-1.0
01-03-2020,0.0,1,0.0
01-03-2021,0.0625,16,1.0
01-03-2022,0.2,5,1.0
01-04-2020,-0.2857142857142857,7,-2.0
01-04-2021,-0.07692307692307693,13,-1.0
01-04-2022,0.16666666666666666,12,2.0
01-05-2019,0.5,2,1.0
01-05-2020,-0.7,10,-7.0
01-05-2021,-0.25,4,-1.0
01-05-2022,0.0,2,0.0
01-06-2018,1.0,1,1.0
01-06-2020,0.0,1,0.0
01-06-2021,-0.1111111111111111,9,-1.0
01-06-2022,0.0,15,0.0
01-07-2018,0.0,1,0.0
01-07-2019,0.0,3,0.0
01-07-2020,1.0,1,1.0
01-07-2021,0.5,4,2.0
01-07-2022,-1.0,14,-14.0
01-08-2018,0.2,5,1.0
01-08-2019,0.0,1,0.0
01-08-2020,0.0,1,0.0
01-08-2021,0.0,1,0.0
01-08-2022,-0.07692307692307693,13,-1.0
01-09-2020,0.6785714285714286,28,19.0
01-09-2021,-0.3333333333333333,6,-2.0
01-09-2022,-0.2727272727272727,11,-3.0
01-10-2018,0.375,8,3.0
01-10-2019,0.0,4,0.0
01-10-2020,0.14285714285714285,7,1.0
01-10-2021,0.18181818181818182,11,2.0
01-10-2022,-0.125,8,-1.0
01-11-2019,0.0,1,0.0
01-11-2021,0.08,25,2.0
01-11-2022,0.15384615384615385,13,2.0
01-12-2020,0.36666666666666664,30,11.0
01-12-2021,-0.06666666666666667,15,-1.0
01-12-2022,0.23529411764705882,17,4.0
02-01-2018,0.0,2,0.0
02-01-2019,-0.6666666666666666,6,-4.0
02-01-2020,0.0,2,0.0
02-01-2021,1.0,3,3.0
02-01-2022,0.5,4,2.0
02-01-2023,0.8333333333333334,6,5.0
02-02-2018,1.0,1,1.0
02-02-2021,-0.21428571428571427,14,-3.0
02-02-2022,0.058823529411764705,17,1.0
02-03-2019,0.0,3,0.0
02-03-2020,0.3333333333333333,3,1.0
02-03-2021,-0.3076923076923077,13,-4.0
02-03-2022,0.21428571428571427,14,3.0
02-04-2018,-0.16666666666666666,6,-1.0
02-04-2019,0.0,1,0.0
02-04-2020,0.0,8,0.0
02-04-2021,0.8333333333333334,6,5.0
02-04-2022,1.0,5,5.0
02-05-2018,0.4,5,2.0
02-05-2019,-0.2,5,-1.0
02-05-2020,0.0,3,0.0
02-05-2021,-1.0,1,-1.0
02-05-2022,-0.18181818181818182,11,-2.0
02-06-2020,0.0,1,0.0
02-06-2021,0.0,15,0.0
02-06-2022,0.0,12,0.0
02-07-2018,0.5,4,2.0
02-07-2019,0.6666666666666666,3,2.0
02-07-2020,0.75,32,24.0
02-07-2021,0.5,20,10.0
02-07-2022,-0.8333333333333334,6,-5.0
02-08-2018,0.25,4,1.0
02-08-2021,0.14285714285714285,7,1.0
02-08-2022,0.0,12,0.0
02-09-2020,0.13636363636363635,22,3.0
02-09-2021,-0.25,4,-1.0
02-09-2022,0.0,4,0.0
02-10-2018,1.0,3,3.0
02-10-2019,-0.5,4,-2.0
02-10-2020,0.39285714285714285,28,11.0
02-10-2021,0.8333333333333334,6,5.0
02-10-2022,-1.0,6,-6.0
02-11-2018,-0.5,2,-1.0
02-11-2020,0.0,7,0.0
02-11-2021,-0.21052631578947367,19,-4.0
02-11-2022,0.08333333333333333,12,1.0
02-12-2020,-0.46153846153846156,13,-6.0
02-12-2021,0.125,8,1.0
02-12-2022,0.0,5,0.0
03-01-2018,1.0,2,2.0
03-01-2019,-0.3333333333333333,3,-1.0
03-01-2020,0.05,20,1.0
03-01-2022,0.42424242424242425,33,14.0
03-01-2023,-0.3333333333333333,30,-10.0
03-02-2020,0.5,8,4.0
03-02-2021,0.2,10,2.0
03-02-2022,-0.2222222222222222,9,-2.0
03-03-2019,0.0,2,0.0
03-03-2020,-0.2222222222222222,9,-2.0
03-03-2021,0.5625,16,9.0
03-03-2022,-0.2857142857142857,21,-6.0
03-04-2018,-0.14285714285714285,7,-1.0
03-04-2019,0.0,1,0.0
03-04-2020,-0.375,8,-3.0
03-04-2021,0.0,1,0.0
03-04-2022,-0.25,4,-1.0
03-05-2018,-0.125,8,-1.0
03-05-2019,0.3333333333333333,3,1.0
03-05-2021,0.3888888888888889,18,7.0
03-05-2022,0.0,12,0.0
03-06-2019,0.0,1,0.0
03-06-2020,0.25,4,1.0
03-06-2021,-0.3076923076923077,13,-4.0
03-06-2022,-0.2641509433962264,53,-14.0
03-07-2018,-0.5,2,-1.0
03-07-2019,0.5,6,3.0
03-07-2020,0.0,3,0.0
03-07-2021,0.0,2,0.0
03-07-2022,-1.0,2,-2.0
03-08-2018,1.0,2,2.0
03-08-2020,0.6,5,3.0
03-08-2021,0.5384615384615384,13,7.0
03-08-2022,0.14285714285714285,14,2.0
03-09-2019,-0.3333333333333333,3,-1.0
03-09-2020,-0.5925925925925926,27,-16.0
03-09-2021,0.0,8,0.0
03-10-2018,0.0,1,0.0
03-10-2019,-0.25,4,-1.0
03-10-2020,0.0,1,0.0
03-10-2022,-0.06666666666666667,30,-2.0
03-11-2020,-0.25,4,-1.0
03-11-2021,0.0,5,0.0
03-11-2022,-0.14285714285714285,7,-1.0
03-12-2018,0.0,1,0.0
03-12-2019,-0.16666666666666666,6,-1.0
03-12-2020,-0.08,25,-2.0
03-12-2021,0.15384615384615385,13,2.0
04-01-2018,0.16666666666666666,6,1.0
04-01-2019,0.0,1,0.0
04-01-2021,0.4,20,8.0
04-01-2022,0.3333333333333333,33,11.0
04-01-2023,-0.14285714285714285,21,-3.0
04-02-2019,0.0,3,0.0
04-02-2020,-0.045454545454545456,22,-1.0
04-02-2021,0.25,8,2.0
04-02-2022,-0.08333333333333333,12,-1.0
04-03-2019,0.0,1,0.0
04-03-2020,-0.4,5,-2.0
04-03-2021,-0.037037037037037035,27,-1.0
04-03-2022,0.0,11,0.0
04-04-2018,0.2,5,1.0
04-04-2019,-0.14285714285714285,7,-1.0
04-04-2020,0.0,2,0.0
04-04-2021,0.0,1,0.0
04-04-2022,0.2,25,5.0
04-05-2018,0.0,4,0.0
04-05-2020,0.0,2,0.0
04-05-2021,0.4,5,2.0
04-05-2022,-0.3076923076923077,13,-4.0
04-06-2018,1.0,1,1.0
04-06-2019,0.0,1,0.0
04-06-2020,0.2727272727272727,11,3.0
04-06-2021,0.07142857142857142,14,1.0
04-06-2022,-0.3333333333333333,3,-1.0
04-07-2019,-0.3333333333333333,3,-1.0
04-07-2022,-0.25,4,-1.0
04-08-2019,0.0,1,0.0
04-08-2020,0.25,8,2.0
04-08-2021,1.0,1,1.0
